id_unico,estrato,classe_pre_triagem,titulo,resumo,bloco_a_presente,bloco_b_presente,bloco_c_presente,bloco_d_presente
REG_05810,irrelevante,irrelevante,Research on the application of AI in power grid fault diagnosis under the digital technology system of new power system,"With the development of artificial intelligence (AI) and digital technology, power grid fault diagnosis methods have been significantly improved in new power systems. This article conducts in-depth research on the application of AI in power grid fault diagnosis, and adopts a comprehensive approach of multiple intelligent diagnostic technologies to improve the intelligence level of analysis and diagnosis. The new digital technology system of the power system provides a continuous 'digital body', and AI injects an 'intelligent soul' that can learn, analyze, and make decisions. The deep integrati",nao,nao,sim,nao
REG_09255,duvida,duvida,Revolutionising Educational Management with AI and Wireless Networks: A Framework for Smart Resource Allocation and Decision-Making,"Educational institutions face growing challenges. Rising enrolment, limited budgets, and sustainability goals demand more efficient resource management and administrative decision-making. To address challenges like these, this work proposes a conceptual framework for smart campus management which integrates Artificial Intelligence (AI) and advanced wireless networks based on 5G. The framework's design outlines layers for campus data collection (via sensors and connected devices), high-speed communication, and AI-driven analytics for decision support. By leveraging data-driven insights enabled ",nao,sim,sim,sim
REG_02220,duvida,duvida,Guidelines for decision-makers with regard to high-speed rail track and infrastructure,"Previous work (Chester, Madanat, & Horvath, 2010) has compared high-speed rail (HSR) to other modes of transportation and come to the conclusion that HSR is a serious leader in regard to leaving a minimal environmental footprint. HSR in various forms has been developed for several decades in countries such as France, Japan, Germany and increasingly in China, and it is now about to be implemented in California. HSR systems are complex infrastructures capable of creating jobs and boosting economic vitality. We performed a preliminary study to describe the multiple elements of construction, opera",nao,sim,nao,nao
REG_09317,duvida,duvida,Brokering Community-campus Partnerships: An Analytical Framework,"Academic institutions and community-based organisations have increasingly recognised the value of working together to meet their different objectives and address common societal needs. In an effort to support the development and maintenance of these partnerships, a diversity of brokering initiatives has emerged. We broadly describe these initiatives as coordinating mechanisms that act as intermediaries with the aim of developing collaborative and sustainable partnerships that provide mutual benefit. A broker can be an individual or an organisation that helps connect and support relationships a",nao,sim,nao,sim
REG_05536,duvida,duvida,Evaluation of failings in urban water supply and sanitation systems in Sub-Saharan Africa: a systematic review to inform future planning,"The high failure rate of water supply and sanitation (WSS) systems is a major concern, especially for developing countries. Using the Collaboration for Environmental Evidence guidelines, this study carried out a systematic review of literature on failings in WSS in the urban areas of Sub-Saharan Africa to identify the factors hindering sustainability as lasting coverage. There were 101 full-text articles examined and 21 articles included in the final review. The findings are discussed through the lens of the financial, institutional, environmental, technological and social (FIETS) framework an",nao,sim,nao,nao
REG_03958,duvida,duvida,An Artificial Intelligence Technology for Predictive Operation and Maintenance of Crude Oil Gathering Systems,"Localized internal corrosion, paraffin/wax deposition, microbiologically induced corrosion or MIC, and solids accumulation are some of the primary issues throughout a pipeline's lifecycle, especially, at low flow conditions. Although significant progress has been made in the development of methodologies and standards for detecting internal corrosion in different types of pipelines, little work has been done on providing cost-effective methods and technologies for the implementation of preventive corrosion strategies. Pigging and chemical inhibition continue to be the first choice of oil and ga",sim,nao,nao,nao
REG_03653,duvida,duvida,Identification and analysis of impact factors on the economic feasibility of photovoltaic energy investments,"The introduction of environmental impact targets around the world has highlighted the need to adopt alternative sources of energy, which can supply the demand and mitigate the damage caused to the environment. Solar energy is one of the main sources of alternative energy, and is considered an abundant source of clean energy. However, to facilitate and encourage investors interested in the installation of photovoltaic energy systems for electricity production, it is essential to evaluate the factors that impact the economic viability of the projects. Therefore, the objective of this research is",nao,sim,nao,nao
REG_09336,duvida,duvida,Knowledge and Expectations Regarding Sustainable Food Systems among Students from Georgian Agricultural Universities and Georgian Food Industry Representatives,"This study establishes the role of sustainability in higher education (HE) and the food industry in Georgia by examining Sustainable Food Systems (SFS) background knowledge among students and food industry representatives, their behaviours as consumers, and their level of food citizenship. This study also investigates the most interesting SFS topics in relation to future training, students' expectations in developing competencies, and the SFS elements they deem most important. This cross-sectional study was performed through an online survey comprising a higher education questionnaire administ",nao,sim,nao,sim
REG_04459,duvida,duvida,Global water access fund: A new idea to bridge operations and maintenance shortfalls for the poorest water utilities,"Reaching the sustainable development goal for water and sanitation access will require significant investments. For some utilities, the private sector or blended public–private investments offer opportunities to expand and improve services, but this is not an option for many utilities serving the poorest households. These utilities are often unable to cover their current operations and maintenance costs and have limited capacity to increase tariffs in order to do so. Yet supporting these utilities is crucial to expanding access to safe drinking water for the majority of citizens. We argue that",nao,sim,nao,nao
REG_04286,duvida,duvida,Refining 'Electrical Safety: From Paper to Practice',"The activities of an electrical worker are often construed as overly complex or challenging and are often misunderstood by most non-electrical workers. Non-electrical workers may not understand what they do not know and risk greater exposure to electrical events because of it. Recognition of this was the first step in what amounted to a three-year, multi-tiered journey by the authors and their former colleagues to utilize the NFPA 70E standard to create and implement an effective and sustainable electrical safety program (ESP) at a large petrochemical company. We began by identifying our probl",nao,sim,nao,nao
REG_03695,duvida,duvida,Blockchain governance as coordination mechanism,"In essence, it is possible with blockchain technology to balance the interests and conflicts of interest between stakeholders of a value chain in terms of access to systems & data, contribution to innovation and influence on renewals & maintenance. All stakeholders or network participants, that share a public blockchain infrastructure, can autonomously and independently take responsibility for the operation and development of parts of the infrastructure that are important to them. This allows groups to work together towards a more inclusive and therefore more goal-oriented operation of the pro",nao,sim,nao,nao
REG_07104,duvida,duvida,What Geotechnical Engineers Want to Know about Reliability,"The purpose of this paper is to address the ""what,""""why,""and ""how""questions posed by engineers who are not familiar with geotechnical reliability and have not kept abreast of recent rapid developments in this field. Geotechnical reliability can be broadly defined as a methodology that enhances decision making at different life-cycle stages covering design, construction, operation and maintenance, retrofit, and decommission/reuse by exploiting the richer characterization of data using probabilistic models. Besides engineered systems, it also covers the risk assessment and management of geohazar",nao,sim,sim,nao
REG_01871,duvida,duvida,"Life-cycle costs approach (LCCA) for sustainable water service delivery: A study in rural Andhra Pradesh, India","This paper illustrates the usefulness of the life-cycle costs approach (LCCA) framework and methodology in addressing slippage and sustainability issues in the Water, Sanitation and Hygiene (WASH) sector in the State of Andhra Pradesh (AP), India. Source sustainability, poor operation and maintenance and water quality are the main reasons for slippage in India. The paper examines the actual cost of provision in 43 villages spread over two agro-climatic zones by cost components that cause slippage and identifies the gaps in (public) investments and how these gaps are responsible for poor, inequ",nao,sim,nao,nao
REG_06813,duvida,duvida,"RETScreen Techno-Economic Feasibility of Indonesia's Cirata 145 MW Floating Solar Photovoltaic Project: Incentives, Risk Management, and Strategic Implementation","Solar energy is essential for attaining sustainable power generation, as it is driven by worldwide efforts to solve environmental issues and decrease dependence on fossil fuels. Indonesia's dedication to achieving carbon neutrality by 2060 highlights its endorsement of the deployment of solar energy, specifically through inventive methods such as floating photovoltaic (PV) systems. This study investigates the Techno-Economic Feasibility of Indonesia's Cirata 145 MW floating solar PV project utilizing RETScreen technology. The study specifically focuses on the incentives for operating and maint",nao,sim,sim,nao
REG_03361,duvida,duvida,Optimization of ICT Street Infrastructure in Smart Cities,Technology solutions are now helping the urban local bodies in Indian Smart Cities to make smart and effective decisions. With these technologies coming up there IoT devices can be seen making its place on urban streets. This paper focuses on the overall view of the ICT (Information and Communication Technology) components and its placement in the city at various locations on the streets. The research for ICT street infrastructure when deployed for upcoming smart cities would help in optimization of ICT street infrastructure and bring down the total life cycle cost in terms of the cost of owne,nao,sim,nao,nao
REG_09486,duvida,duvida,LIVING WALLS ENHANCING QUALITY OF EDUCATIONAL ENVIRONMENTS,"Living walls provide an effective solution in landscaping in educational environments where space is scarce and therefore, valuable. Landscaping in educational environments is crucial for learning minds, positively affecting concentration, memory, and academic performance, as well as, well-being and quality of life. In this study, the aim was to build a living wall on the Izmir University of Economics (IUE) campus in Izmir, Turkey that had limited horizontal space for landscaping. The living wall structure was fixed on six 16 meter high columns of the Faculty of Fine Arts and Design building -",nao,sim,nao,sim
REG_01361,duvida,duvida,Economic and environmental analysis of decentralized heating using biomass gasification gas and household biogas in rural areas,"With the rapid development of the economy and the significant improvement in people's living conditions, clean and convenient heating has gained attention due to being required by farmers in the northern rural areas of China. The centralized heating usually requires a long-distance transporting pipe network, thus it is not applicable to most rural villages. The decentralized heating is applicable by using biomass gasification gas coupled with a household gas-burning furnace and by digestion biogas coupled with a household gas-burning furnace. These two methods of heating are much cleaner and m",nao,sim,nao,nao
REG_09160,duvida,duvida,Pipeline rehabilitation systems for service life extension,"With the continued aging of existing pipelines and underground infrastructure, the requirement for renewal and service life extension of these assets is also increasing. The needs for improving quality of life, reduction of inconvenience to society, and less impact on the environment make trenchless renewal methods a sustainable choice for pipeline owners and public agencies. Since the 1980s, a number of methods have become available to renew in-situ existing and deteriorated underground pipelines. These methods belong to the family of 'trenchless technology' methods. Trenchless technology alt",nao,sim,nao,nao
REG_00669,duvida,duvida,Evaluation of the application of a thermal insulation system: In-situ comparison of seasonal and daily climatic fluctuations,"The current outdated state of many institutional and administrative buildings in the EU region poses a significant burden from the energy sustainability point of view. According to the contemporary EU requirements on the energy efficiency of buildings maintenance, an evaluation of performed improvements is essential for the assessment of expended investments. This paper describes the effect of building envelope reconstruction works consisting in the installation of a thermal insulation system. Here, a long-term continuous monitoring is used for the extensive assessment of the seasonal and dail",nao,sim,nao,nao
REG_09104,duvida,duvida,Natural Resources Management: Life Cycle Assessment and Forest Certification and Sustainability Issues,"Forest sustainability and forest certification are important natural resource management and environmental issues. Forest certification addresses the social and environmental issues in the acquisition of raw materials (e.g., lumber to be used in the building process). Life cycle assessment is a common technique used in the evaluation of forest sustainability issues and forest certification programs. Life cycle assessment is a tool to evaluate multiple issue environmental and some social impacts attributed to a product or process (e.g., wood as a building material). Inputs (like raw material ex",nao,sim,nao,nao
REG_09209,duvida,duvida,Concerns among local government facility managers: a Norwegian survey,"Purpose - This paper aims to investigate which concerns are most important for local government facility managers in Norway. Design/methodology/approach - The authors analyze a survey dataset covering about two-thirds of all Norwegian local governments and 80 per cent of the Norwegian population. The authors consider both descriptive statistics and results from an ordered probit regression analysis. Findings - Facility managers are most concerned about weak fiscal conditions and lack of political priority of facility management, and local governments reporting public buildings in good conditio",sim,nao,sim,sim
REG_08946,sem_resumo,sem_resumo,Life-cycle Engineering Asset Management,,nao,sim,nao,nao
REG_08466,sem_resumo,sem_resumo,8.5 Facility Management im Immobilienlebenszyklus,,sim,nao,nao,nao
REG_08810,sem_resumo,sem_resumo,Wendell W. Wright Education Building,,nao,nao,nao,nao
REG_08878,sem_resumo,sem_resumo,Frontmatter,,nao,nao,nao,nao
REG_08621,sem_resumo,sem_resumo,Buildings Sustainability Certifications and the Common European Framework Level(s),,nao,sim,nao,nao
REG_02389,sem_resumo,sem_resumo,A platform for the optimisation of Building Operation,,sim,nao,nao,nao
REG_08728,sem_resumo,sem_resumo,A BWM-Based Multi-Criteria Prioritization of IFRS S1 Sustainability Disclosure Elements: Evidence from Expert-Driven Evaluation for Sustainable Finance Decision-Making,,nao,sim,sim,nao
REG_07413,sem_resumo,sem_resumo,Emerging Technologies for Decarbonization in Building Sector: Evidence From Patent Inventions,,nao,nao,nao,nao
REG_08908,sem_resumo,sem_resumo,Closing Graduates’ Sustainability Skills Gaps by Using the University as a Live Sustainability Case Study,,nao,sim,nao,nao
REG_07480,sem_resumo,sem_resumo,Enhancing Safety and Security in Renewable Energy Systems within Smart Cities,,nao,nao,nao,nao
REG_08827,sem_resumo,sem_resumo,An efficient implementation of the Gale and Shapley “propose-and-reject” algorithm,,nao,nao,nao,nao
REG_08804,sem_resumo,sem_resumo,Index,,nao,nao,nao,nao
REG_08752,sem_resumo,sem_resumo,Green Campus and Environmental Preservation on a Brazilian University,,nao,nao,nao,sim
REG_08460,sem_resumo,sem_resumo,THE INFLUENCE OF SUSTAINABILITY AND GREEN MANAGEMENT CONCEPTS ON EDUCATIONAL FACILITY PERFORMANCE IN NIGERIA,,nao,sim,nao,nao
REG_08843,sem_resumo,sem_resumo,Electronic Resources,,nao,nao,nao,nao
REG_08581,sem_resumo,sem_resumo,Prioritization of Sustainability Dimensions and Indicators for Office Buildings,,nao,sim,sim,nao
REG_08740,sem_resumo,sem_resumo,Building Maintenance Management in a Malaysian University Campus: A Case Study,,sim,nao,nao,sim
REG_08708,sem_resumo,sem_resumo,Maintenance Management of Municipal Buildings in the South African Education Sector,,sim,nao,nao,nao
REG_09031,sem_resumo,sem_resumo,Integrated life-cycle power asset management for telecom operators (June 2010),,nao,sim,nao,nao
REG_08706,sem_resumo,sem_resumo,Building Envelopes: A Passive Way to Achieve Energy Sustainability through Energy-Efficient Buildings,,nao,sim,nao,nao
